Date,Comment,Food,Service,Ambience,Overall
2/25/2024,"Hothouse was a nice place to celebrate our birthday. The place was beautiful and the quality of food was good in general. The ambiance was a 10/10 thanks to the relaxing live music, the wide windows, and the staff's attention. Maybe charging $45 for brunch seems a bit excessive though, especially when other places have tons of options for $10 less.",3,4,5,4
2/25/2024,????????????????????????????????????????????????????????????45???????????17.5???????????????????????,5,5,5,5
2/25/2024,"Very nice service, and the food was great. Loved the atmosphere.",4,4,5,5
2/25/2024,Just love the experience and the great foods provided during Sunday brunch ! Love the atmosphere !!,5,5,5,5
2/24/2024,Great place for brunch…sunny and spacious with good food and great service. Reasonable prices too.,3,5,5,5
2/22/2024,"It's a good location but the quality of the food was not up to the task The restaurant was quite empty, and a lot of seniors. I was in this restaurant many years ago and the quality was above average it was sad to see the quality went down.",3,4,3,3
2/22/2024,Staff was extremely friendly. Service was excellent,5,5,5,5
2/21/2024,"The service was excellent but the Jumbalaya thought very tasty, skimped on the shrimp.",4,5,4,4
2/19/2024,Muscles in white wine sauce were amazing. Service was good. Lasagna was a nice change up from the norm. Burger was pretty good but nothing to write home about. Would go again.,4,4,4,4
2/19/2024,Great service and great food! Will be back Soon,5,5,5,5
2/18/2024,"Great food as usual, every time I hit up Toronto I aim to be there on a Sunday to enjoy brunch!",5,4,5,5
2/18/2024,Food was excellent. Great value for money and the drinks were on the house!,5,5,5,5
2/18/2024,"Best Sunday brunch in the city...without a doubt! We have been many times, and will be going back.",4,5,4,5
2/17/2024,Location and place was nice. Food was so so. Not bad but not great. Service was excellent.,3,4,4,4
2/15/2024,The dessert was too small of portion for the price everything else was great It was normal size poor visit do it was disappointing the it change to a smaller portion,4,5,5,5
2/14/2024,This is one of our favorite spots to dine downtown!,4,5,4,5
2/14/2024,"Food was great, pasta was the slightest amount undercooked. Server was lovely. The restaurant itself is very nice looking.",4,5,5,5
2/14/2024,"We come to the HotHouse very often but this was our first time at valentines’ day. It was not a good experience: the dishes we ordered were sold out (even though we were there at 630pm) and our server was clearly overwhelmed. We felt we were always waiting to get our drinks, or trying to get her attention, we spent a ton of time there just drinking water… my partner ordered the ribeye steak and it was very fatty, mostly inedible. We ended up cutting the night short and going elsewhere to get a drink a burger.",3,1,3,4
2/14/2024,We both loved our mains. Lovely service. but.........BEST FRENCH FRIES IN THE COUNTRY. LOL WE raved about them all night. Been to this restaurant many times and have never once been disappointed.,5,5,4,5
2/14/2024,"Upon the auspicious occasion of Valentine's Day, my esteemed wife and I had the pleasure of dining at the distinguished establishment known as the Hot House Restaurant for luncheon. From the moment we crossed the threshold, we were enveloped in an atmosphere of impeccable civility, with the staff exuding a warmth and politeness that bespoke their earnest endeavors to ensure that each patron's experience was of the highest order. Our repast commenced with a selection of mezzes, a testament to the culinary arts' ability to transform simple ingredients into a symphony of flavors. This was followed by an exquisitely prepared Jambalaya, a dish that sang with the spices of the South, and a Half rack of BBQ ribs, its succulence enhanced by the perfect complement of French fries. The Atlantic Salmon, a marvel of the chef's skill, was cooked to perfection, its flavors harmonizing beautifully on the palate. The denouement of our gastronomic journey was the Hot House Signature Tiramisu, accompanied by a cup of tea and a double espresso - each a delightful epilogue to the meal. The confluence of these culinary delights culminated in a bill of $141, a trifling sum for the quality and service rendered. In sum, our experience at the Hot House Restaurant was nothing short of sublime, a testament to the establishment's commitment to culinary excellence and unparalleled service. It stands as a beacon of fine dining, and I am compelled to commend it to the discerning gourmand as a destination of choice.",5,5,5,5
2/7/2024,"We have been to this location many times and it is always a pleasure! The staff is friendly, the speed at which the food arrived was perfectly timed and the food itself never disappoints. We will of course, be back. Thank you for the fantastic food!",5,4,5,5
2/4/2024,"The selection range of the course is limited. We are there around noon, some of popular dishes, such as salmon has not much left and no refill from the restaurant. The 65$ including tax and tips I would more prefer to go a la carte",3,3,3,3
2/4/2024,"If you feel like having the best brunch ever in Toronto, this is the place you have to go to. Looking forward to returning for the experience soon! Loved the jazz ambience! And the food!!!",5,5,5,5
2/4/2024,"Great Place to eat, the wife loved it. The jerk chicken was amazing.",5,5,5,5
2/4/2024,Brunch was great. Wonderful selection for sure. But the price of $45.00 per person is steep even for Toronto. Beverages are plus that.,5,3,4,4
2/3/2024,"This is not a remark against the restaurant; it's an observation and comment on people's etiquette. Noise level...was not ""energetic"". It was too loud. As in, people's conversations. In proper etiquette form, we were raised to speak in a quiet voice...not so the three tables around you can hear everything you say. But, I know this is a useless point to make, because it seems manners, politeness and grace left town years ago. This made our dinner date less enjoyable, having to converse over everyone else's conversations. I will try a different restaurant for our next dinner date.",4,5,2,4
2/3/2024,Great food and service. Would defintely recommemd. The only thing I would suggest is that they should inform customers who book online that there is a window from 3:00 pm to 3:30 pm on Saturdays where you cannot order entrees as the kitchen changes from brunch to dinner menu. It would have been helpful for us to be aware since we had a reservation for just before the switch.,5,5,5,4
1/28/2024,"The server was welcoming, smiling all the time, and gave us a positive energy.",5,5,5,5
1/28/2024,I took my friend for a Hot House experience. We will rate it 5 stars but a bit disappointed that they stopped making the waffles and the dessert table was completely done. $45 is not.a bad price for a buffet but you cannot just stop serving desserts just because you there's less customers around.,4,4,4,4
1/28/2024,Sunday is chaos. Try another day. As a senior with walker it was hard to do a buffet. Prefer to be served.,3,4,4,3
1/27/2024,"Many people working there but no one seems to know their job. Six people at our table, meals came for five , sixth person waited an extra 10 minutes for their food to arrive, after WE mentioned it to our server. (Not even an apology) Place is outdated! Visiting the Hothouse for Sunday Brunch years ago was great, but this place is definitely on the decline.",2,1,1,2
1/24/2024,This is a terrific find. Everything you could want in a modern downtown eatery. Last night was my third visit and I plan many more.,5,5,5,5
1/22/2024,"Unpressured, enabling our group to visit with each other, with service when we signaled and occasional checks to see how we were doing - and excellent server. Everyone was very happy with their choices; the food was delicious.",4,4,4,4
1/21/2024,"Went for Sunday brunch. It is busy, but the food is pretty great. Definitely worth checking it out! Service was perfect and they kept the buffet filled.",5,5,4,5
1/21/2024,Everything great coffee and tea could be included with the 45 dollar price,5,5,5,5
1/21/2024,"The food options are not as good as they used to be. Poor bread options, no good meats and desserts were too dry.",3,4,4,3
1/20/2024,"Great place for dinner, food was amazing and so was service. 5 stars all around!",5,5,5,5
1/20/2024,"Dined at a gem! Ambiance was captivating, food exquisite, and service impeccable. From the cozy decor to the delightful menu, every detail radiated excellence. A memorable culinary journey with unparalleled hospitality. A must-visit for those seeking a perfect blend of atmosphere, flavors, and attentive service.",5,5,5,5
1/20/2024,The portions were a good size but the food and coffee could have been hotter.,2,3,4,3
1/20/2024,Loved going here! Was great atmosphere and food was reasonably priced and delicious!,5,5,5,5
1/19/2024,It was an amazing experience the food was amazing,5,5,5,5
1/19/2024,"I have been to the Hothouse Cafe before and it's always been great. However, this last visit was chaotic. There seemed to be something amiss with the orders and there were several diners including us who were waiting quite a while to be served drinks, and then the food took the better part of an hour. Not our server's fault - he knew we were going to the theatre for an 8 pm curtain, so our 6 pm reservation should have been sufficient time.",3,2,2,3
1/19/2024,"I always enjoy eating here before seeing a show at Canadian Stage or Meridian Hall. On this particularly cold night, the Baked Quatro Mac and Cheese was delicious comfort food. And, they have one of the best Sticky Toffee Puddings I've ever eaten",5,5,4,5
1/19/2024,Excellent meal. Alex our server was very professional and friendly. Enjoyed our meal very much and will be back!,5,5,4,5
1/19/2024,"We had been repeat customers, but... We made a reservation with Hot House through Open Table for 6:30pm, and explicitly noted in the reservation that ""we need to finished in time to make it to an 8pm show at Meridian Hall"". We ordered our food around 6:35pm; at that time, we told our server that we needed to get out the door by roughly 7:30-7:40 so we would not be rushing down the street to get to our show. She served our starter salads within about 15 minutes or so, but then when we had not seen anything in terms of our entrées (time now around 7:10pm or so), we got nervous and began asking her to please prompt the kitchen since we didn't want to have to ""wolf down"" our main dishes and then rush out. (Subsequently and on three separate occasions/concerns being raised, she promised she was prompting the kitchen.) Well, the main courses finally showed up at 7:30pm. This was roughly 55 minutes after ordering them. The food was great, but it was an unpleasant experience to have to ""wolf them down"" after all - when we had provided multiple prompts/requests to try to avoid that very fate. While the restaurant was busy, it was by no means packed, nor did it appear that all the patrons had time constraints like ours. So in sum, we don't understand why it took the kitchen so long to put together basic pasta dishes, when some simple prioritization of their cooking would have avoided all of that. Pay attention to your customers' requests, please!",4,2,3,3
1/18/2024,Had a great dining experience. Service was on point. Food was tasty. Good sized portions. Great drink list. Will be returning for another meal.,5,5,5,5
1/15/2024,Good value yet again. A neighbourhood gem. Thank you.,5,5,5,5
1/15/2024,"The steak frites was cooked exactly as requested. The beef short rib was fall-off-the bone tender and flavour packed with creamy, tasty mashed sweet potato. The Tiramisu is mandatory for dessert. Our server, Antonia, was attentive and engaging without being overbearing. She made our birthday evening extra special. Thank you.",5,5,5,5
1/14/2024,Enjoyed a very leisurely brunch with good variety and excellent service!!,4,5,4,4
1/14/2024,"Delicious Sunday brunch. Next time I’ll request to sit away from the live music as it was quite loud, but lovely still.",5,4,4,5
1/14/2024,"Location was great for meeting our friend. The cost of the buffet was much more than I expected. Pretty sure I didn't eat enough to cover the $45. The food was good but not outstanding. There was reasonable choices but again, nothing was outstanding. I wouldn't recommend the buffet to people due to the cost and I haven't had anything from the a la carte menu",3,4,4,3
1/13/2024,Found a quiet place for dinner before the Leaf game. Found it relaxing and gave us plenty of time to get to the game.,5,5,5,5
1/13/2024,we both had the avocado toast - the bread was hard and steal - there was hardly any avocado - the price was very expensive for what it was - very dissatisfied -the 2 other guests had eggs witch was passable ,1,3,2,2
1/13/2024,Took my son there for lunch before a show. I had fond memories of going there with my mom when I was young. The food was just okay. The location is very convenient for the local theatre.,3,4,4,4
1/12/2024,"Nice atmosphere but the food was only average.  I had the Thai noodles; I asked for no chicken and extra tofu.  They forgot the tofu.  When I mentioned it, they brought me a tiny saucer of microwaved tofu. It looked a little unsightly and was completely unseasoned.  My wife had the veggie stir-fry and it was a little plain.",3,4,4,4
1/12/2024,"The food is incredible and will always keep us coming back but last night, Saturday night, was very busy. The service was poor, our appetizers arrived cold and it was clear my partner's main dish had been sitting, not due to temperature, but because the linguine noodles were mush by the time they arrived to the table. It took an hour to receive our food and were rushing out the door for a performance even though we left ourselves 1½ hours to eat. My dish, the Sicilian Gnocchi, was spectacular, as always.",4,2,4,4
1/12/2024,"Never disappoints. This restaurant has friendly staff, a varied menu and a gorgeous patio in the summer. Highly recommend the bruschetta, the Thai Bowl, the cappelletti pasta and the sambucca pasta! Make a reservation on summer weekends!",5,5,5,5
1/7/2024,"GOOD: 1. FOOD : Although the food has somewhat lessened in quality from last year's and previous years, it is still a decent brunch. 2. JAZZ BAND & AMBIENCE : The jazz trio has improved. They provide a great vibe to the place with their smooth jazz. COULD IMPROVE: 1. WAITING STAFF: a) Red-haired, long-haired greeter/hostess: I reserved for a party of 9 (turned to 6 on the day of). They wanted us to sit at the back of the restaurant, far from any other people. I thought it was strange and requested a table closest to the jazz band. I saw her argue rudely with one of the servers who asked for me. When I approached her, she gave me attitude and said "" Well, there was no notification of your wish to sit next to the band on your reservation"". I told her, "" Ok, I made this reservation from months ago and I am giving you the notification now"". She proceeded to tell me that the reason why they cannot sit us next to the band is that there is only one server in that location to which I replied, "" Well, that's not our fault as patrons "". She then proceeded to complain about the 30-member guests who DID NOT HAVE RESERVATIONS and said, "" It's been a disastrous morning ""...to which I then replied, "" So you accommodate 30 people who didn't make reservations in front of the jazz band and you don't accommodate us who made reservations from months ago bc we simply failed to note it on our reservation note online?!"". She eventually gave us the table. When we left, I said "" Thank you "" and was ignored. b) Short, glass-wearing, mustached, dark-haired Italian looking waiter: When I asked him what drinks he was piling on to the tray, he gave me a somewhat grumpy look as if I was interrupting him. When I smiled and said thank you to his response, he just didn't say anything. I understand that people are busy but have courtesy to patrons.",4,3,4,4
1/7/2024,"We did a family outing. The service was exceptional, and the food was good variety and well presented. Everything tasted delicious.",5,5,5,5
1/7/2024,Our server Scottie was pleasant and accommodating.,5,5,5,5
1/7/2024,"Never disappoints. This restaurant has friendly staff, a varied menu and a gorgeous patio in the summer. Highly recommend the bruschetta, the Thai Bowl, the cappelletti pasta and the sambucca pasta! Make a reservation on summer weekends!",5,5,5,5
1/6/2024,"Reservation for 3. Restaurant was not half full. Took 48 mins to receive our food order. My son received his first. Then two mins later my partners and my meal arrived. My son had the salmon and “ Montreal “ bagel. We are from Montreal , so he was excited to get a “ Montreal “ bagel. It was NOT a Montreal style bagel. But two later plain bagels that almost felt were bought from Walmart. Food was cold for all 3 of our meals. Not worth the $$$. Food was average. The only thing great about that restaurant was our lovely waitress from Ireland. She was very sweet. We will not be going back for another meal.",2,3,3,3
1/5/2024,The food was delicious and thanks for the special. The service was good too…,5,5,5,5
1/1/2024,"It's our family tradition to have new year brunch! love the atmosphere there with live music, wish that the live music can start a little early! Overall experience was great! Will go again!",4,4,4,4
1/1/2024,Great food and exceptional service. Very comfortable and clean atmosphere. And always nice to listen to the live jazz while dining,5,5,5,5
1/1/2024,A lovely place to go for New Years Day Brunch. I've gone twice and really enjoyed myself both times.,5,5,5,5
1/1/2024,"Good, dependable and tasty food. Great service from individual staff members. Perfect noise level from the live jazz ensemble to allow for talking without yelling, but still enjoyable and audible. The kitchen had a difficult time keeping up with demand for the brunch options. There were usually 3-4 empty trays at any given time. I went back 3 times for the lobster mac and cheese and it was always empty when I went. Maybe it was busier than expected (we were there for NY day brunch) but that was frustrating, not to be able to access the preferred brunch options. Good value on mimosas (2 for $10) and lovely service from the host and our server. I did see a stack of clean dish racks partially blocking the hall to the bathroom which was impeding a man in a wheelchair from getting there. He was understandably frustrated.",4,5,4,4
